department,job_title,salary,nb_months
MRS - Recreational Sports,Coord-Student Initiatives,56556,12
HHS - EXT Fam/CommHlth OffCmps,Senior Instructor 1,61764,12
QBC - Aux & Activ Business Ctr,Mgr-Finance & Accounting,86040,12
RSG - Sea Grant Extension,Assistant Professor (Practice),71004,12
ECB - Sch of Chem/Bio/Envr Eng,Senior Faculty Research Asst I,94800,12
***Change to 104000 eff 7/1/19,Content Marketing Manager,65520,12
VBS - Vet Biomedical Science,Associate Professor,111186,9
XPV - Provost / Exec Vice Pres,Interim VP-Info & Tech,225e3,12
ECB - Sch of Chem/Bio/Envr Eng,Associate Professor,113184,9
HHS - Sch of Soc/Bhav Hlth Sci,Professor,109800,9
ABP - Ag Botany / Plant Path,Professor,185256,12
LCB - Acad Prog / Student Aff,Associate Professor,48375,9
QBC - Arts & Sci Business Ctr,Mgr-Finance & Acct,85500,12
AFW - Fisheries and Wildlife,Academic Advisor,46584,12
AHT - Horticulture,Senior Instructor I,74124,12
AMC - Mid-Columbia Exp Sta,Research Associate (PostDoc),54e3,12
ACS - Crop and Soil Science,Faculty Research Assistant,44304,12
WHC - Univ Honors College,Professor,121878,9
JIS - Academic Technologies,Assoc Dir-TAC,96300,12
MSA - International Services,Asst Dir-Int’l Faculty&Scholar,85008,12
AGA - College of Ag Admin,Dir-Student Services,65556,12
MSA - Acad Equity Stdnt Succes,Dir-AdvAcadEquityStdntSuccess,81576,12
QCP - Capital Planning & Devlp,Project Manager,90792,12
MSA - Dean of Students,AVPSA & Dean of Students,168504,12
UPR - Institutional Diversity,Asst Director-Outreach,62844,12
ACT - Central Oregon Exp Sta,Farm and Facilities Manager,54900,12
TEX - Ext Tillamook Co Office,Administrator Office Manager,57636,12
ASC - Animal & Rnglnd Sci Extn,Extension Dairy Specialist,124476,12
RSG - Sea Grant Extension,Assistant Professor(Extension),74868,12
QRS - Enterprise Risk Services,Dir Environ Health & Safety,114348,12
HHS - Hlth Hum Sci SW Outreach,Operations Manager,70284,12
ACS - Crop and Soil Science,Professor,118620,12
ECC - Sch of Civil/Constr Engr,Advisor - Academic,50988,12
RDR - Linus Pauling Institute,Mgr-Micronutrient Info Center,76620,12
QBA - Business Affairs,Fiscal Policy Officer,70164,12
SMT - Mathematics,Professor,142452,9
AMB - Microbiology (Ag),Professor,154932,12
YIA - Intercolleg Athletics,Trainer-Athletic Camps,51996,12
HHS - EXT Fam/CommHlth OffCmps,Coord-FCH Program,51492,12
"CLA - Sch Lang, Culture & Soc",Associate Professor,84339,9
QCP - Capital Planning & Devlp,Project Manager,95004,12
FOR - Forest Ecosyst & Society,Senior Faculty Research Asst I,60852,12
AFW - Fisheries and Wildlife,Research Associate (Post Doc),69300,12
AFS - Food Science and Techno,Faculty Research Assistant,42e3,12
HHS - EXT 4-H YouthDev OffCmps,4-H Youth Dev Educator,52800,12
JIS - Entrprse Computing Svcs,Snr Data Intg Strategist,105264,12
LCB - Acad Prog / Student Aff,Admissions Advisor,39588,12
***Change to 104000 eff 7/1/19,Assistant Director-Marketing,76008,12
VCS - Vet Clinical Sciences,Associate Professor,132996,12
ASC - An/RngSci Extn Field Fac,Assistant Professor (Practice),70608,12
AFW - Fisheries and Wildlife,Assoc Department Head,123e3,12
NIA - University Marketing,Senior Editor,72840,12
YIA - Intercolleg Athletics,Asst Coach-Women’s CC & Track,75e3,12
SZO - Integrative Biology,Academic Advisor,41820,12
"CLA - Sch Lang, Culture & Soc",Associate Professor,88812,9
XPV - Provost / Exec Vice Pres,Impact Studio Director,183600,12
AAR - Applied Economics,Assistant Professor,103383,9
ACT - Central Oregon Exp Sta,Assistant Professor,81054,9
KED - College of Education,Exec Asst to Dean,64380,12
AFW - Fisheries and Wildlife,Coordinator-Academic Program,52944,12
NIA - University Marketing,Mgr-Trademark Licensing,67944,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,36432,12
FOR - Forest Eng/Resourcs/Mgmt,Research Associate (Post Doc),74760,12
INT - INTO OSU Program,Graduate Progression Advisor,50052,12
YIA - Intercolleg Athletics,Asst Trainer-Athletics,47868,12
AFW - Fisheries and Wildlife,Senior Instructor I,81600,12
EMM - Sch of Mech/Ind/Mfg Engr,Assistant Professor,98667,9
***Change to 104000 eff 7/1/19,Exec Dir-Mkt Dev & Stdnt Exp,135e3,12
ATX - Enviro / Molecular Toxic,Research Associate,56940,12
"OAS - Earth, Ocean & Atmo Sci",Assistant Professor (Sr Res),83304,12
FOR - Forest Eng/Resourcs/Mgmt,Mgr-Administrative,69744,12
HHS - Public Hlth/HumanSci Adm,Research Program Coordinator,68004,12
"OAS - Earth, Ocean & Atmo Sci",Research Associate,66864,12
CLA - Sch of Wrtg Lit & Film,Assistant Professor,64791,9
KED - College of Education,Professor,118248,12
RSG - Sea Grant,Boater Outreach Coordinator,56244,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,44736,12
RIP - VP for Research,Officer-Compliance,50916,12
HHS - Public Hlth/HumanSci Adm,Assoc Dean for Student Success,156276,12
ACS - Crop and Soil Science,Senior Faculty Research Asst I,54408,12
AGA - College of Ag Admin,Professor,143508,12
JIS - Telecommunication,Assist Dir-Infrast/Network Ops,108936,12
AHT - Horticltr Extn Field Fac,Assistant Professor (Practice),80076,12
DLB - Library,Senior Instructor I,62880,12
CLA - School of Public Policy,Advisor-Academic,50676,12
QFA - Human Resources-Central,Supv-Student Employment Ctr,68004,12
MSA - Acad Svcs Stdnt Athletes,Learning Services Coordinator,56664,12
CLA - Liberal Arts Admin,Academic Advisor,50004,12
CLA - Liberal Arts Admin,Professor,96804,9
CLA - School of Public Policy,Professor,103752,9
"OAS - Earth, Ocean & Atmo Sci",Professor,152964,12
APD - Aquaculture CRSP,Director and Unit Leader,228324,12
INT - INTO OSU Program,Instructor (ESL),51912,12
ATX - Enviro / Molecular Toxic,Assistant Professor (Sr Res),52104,12
ESE - Sch Elect Engr/Comp Sci,Senior Instructor I,96516,12
YIA - Intercolleg Athletics,Asst Coach-Women’s Rowing,55008,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,45780,12
XUS - VP Undergrad Education,Executive Assistant,72420,12
EMM - Sch of Mech/Ind/Mfg Engr,Outreach and Industry Relation,70008,12
ECB - Sch of Chem/Bio/Envr Eng,Eng Education IT Specialist,68916,12
YIA - Intercolleg Athletics,Assoc AD-Fan Engage/Rev Gen,78756,12
MSA - Dean of Students,Mil-Veteran Resources Advisor,60180,12
ACS - Crop and Soil Science,Professor (Sr Res),92892,12
ABE - Biol & Ecol Engineering,Faculty Research Assistant,57996,12
YIA - Intercolleg Athletics,Assoc Trainer-Athletics,56844,12
YIA - Intercolleg Athletics,Asst Trainer-Athletics,49008,12
HHS - Sch of Soc/Bhav Hlth Sci,Senior Instructor I,72060,12
TOS - Outdoor School,OES Assistant Director,143136,12
KED - College of Education,Associate Professor,87354,9
AFW - Fisheries and Wildlife,Assistant Professor (Sr Res),82908,12
BUS - College of Business Dept,Office Manager,58404,12
QFA - Sr Assoc VP Fin & Admin,Ex Asst to SAVPA,70428,12
ABP - Ag Botany / Plant Path,Research Associate (Post Doc),54204,12
MSA - Career Development Ctr,Assist to Executive Director,46800,12
LCB - Acad Prog / Student Aff,Professor,141237,9
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,41592,12
YIA - Intercolleg Athletics,Asst AD/Dir-WBB Recruiting,126732,12
RDR - CIMRS (Inst/Marine Res),Professor (Sr Res),153792,12
AFW - Fisheries and Wildlife,Faculty Research Assistant,48e3,12
SMT - Mathematics,Assistant Professor,102e3,12
"QBA - Procur,Cont&MaterialsMgt",Construction Contracts Supv,95292,12
CLA - School of Public Policy,Professor,138942,9
SST - Statistics (Science),Associate Professor,95697,9
RIP - VP for Research,Research Development Associate,64176,12
MSA - International Services,Int’l Sponsored Stdt Advisor,44388,12
JIS - Info Svcs Central Admin,Director of IT Relations,112536,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,40572,12
AEU - Eastern Ore Univ Ag Prg,Assistant Professor,86850,9
PHR - Pharmacy Professnl Instr,Clinical Pharmacy Specialist,128976,12
XEM - Pre-College Programs,Mgr-GEAR UP Prog Coll Adm Spec,69240,12
AFW - Fisheries and Wildlife,Associate Professor,94644,9
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,43680,12
LCB - Acad Prog / Student Aff,Advisor - Academic,50520,12
"OAS - Earth, Ocean & Atmo Sci",Research Associate,79716,12
"OAS - Earth, Ocean & Atmo Sci",Research Associate,82080,12
MSA - Writing Center,Writing Center Coordinator,55620,12
AGH - Ag Greenhouse Operation,Mgr-Greenhouse Operations,80304,12
ESE - Sch Elect Engr/Comp Sci,Professor,160479,9
SCI - College of Science Admin,Director-Electron Micro Fac,90564,12
SMT - Mathematics,Professor,107595,9
EMM - Sch of Mech/Ind/Mfg Engr,Assistant Professor,97992,9
VCS - Vet Clinical Sciences,Professor,166836,12
AGA - College of Ag Admin,Research Program Administrator,82896,12
ECB - Sch of Chem/Bio/Envr Eng,Research Associate (Post Doc),48e3,12
MRS - Recreational Sports,Coord-Outdoor Rec Programs,61656,12
ECC - Sch of Civil/Constr Engr,Associate Professor,117099,9
CLA - New Media Communications,Associate Professor,78318,9
EMM - Sch of Mech/Ind/Mfg Engr,Assistant Professor,96183,9
BUS - College of Business Dept,Assistant Professor,136251,9
SCH - Chemistry,Associate Professor,95202,9
"OAS - Earth, Ocean & Atmo Sci",Faculty Research Assistant,54e3,12
SMT - Mathematics,Professor,119781,9
RMS - Hatfield Marine Sci Ctr,Strategic Initiative Manager,79320,12
ECC - Sch of Civil/Constr Engr,Outreach & Ind. Rel. Coord.,75e3,12
XEM - Office of the Registrar,Mgr-Degree Clearance,62676,12
SCI - College of Science Admin,Dir-Comm & Marketing,106224,12
MHD - Dining Centers,Banquet Manager,55356,12
ENS - Sch Nuclear Sci & Engr,Associate Professor,111816,9
"OAS - Earth, Ocean & Atmo Sci",Senior Faculty Research Asst I,54192,12
AGA - College of Ag Admin,Mgr-Cost & Project,89928,12
HHS - Faculty/Staff Fitness,FSF Instructor,51984,12
LCB - Acad Prog / Student Aff,Ed Placement Internship Coord,47940,12
"OAS - Earth, Ocean & Atmo Sci",Assistant Professor,88752,12
AMA - Malheur Exp Sta,Senior Faculty Research Asst I,65988,12
***Change to 104000 eff 7/1/19,Instructional Design Spec,69480,12
AMA - Malheur Exp Sta,Associate Professor,100536,12
ECB - Sch of Chem/Bio/Envr Eng,Assistant Professor,98478,9
YIA - Intercolleg Athletics,Assoc AD-Athletic Comm,76596,12
QBC - Health Sci Business Ctr,Mgr-HSBC Finance & Accounting,97200,12
QBC - Health Sci Business Ctr,Mgr-Business Center,144e3,12
MHD - Dining Centers,Catering Operations Manager,55512,12
ESE - Sch Elect Engr/Comp Sci,Professor,157473,9
ESE - Sch Elect Engr/Comp Sci,Associate Professor,129834,9
DLB - Library,Associate Professor,69264,12
ACS - Crop/Soil Extn Field Fac,Assistant Professor (Practice),72492,12
CLA - Sch of Hist Phil & Rel,Professor,111528,9
ACS - Crop/Soil Extn Field Fac,Associate Professor (Practice),73200,12
XPV - Provost / Exec Vice Pres,Professor,156654,9
"OAS - Earth, Ocean & Atmo Sci",Associate Professor,110004,12
CLA - Music Department,Assistant Professor,68976,9
ABP - Ag Botany / Plant Path,Faculty Research Assistant,48060,12
ATX - Enviro / Molecular Toxic,Professor,146940,12
SMB - Microbiology (Science),Director,124884,12
SZO - Integrative Biology,Faculty Research Assistant,36024,12
CLA - School of Public Policy,Advisor-Head Academic,45840,12
CLA - Sch of Hist Phil & Rel,Associate Professor,89361,9
DLB - Library,Associate Professor,75012,12
ACS - Crop and Soil Science,Senior Faculty Research Asst I,60696,12
ASC - An/RngSci Extn Field Fac,Professor,102828,12
PHR - Pharmacy Professnl Instr,Dept Chair-Pharmaceutical Sci,156840,12
SMT - Mathematics,Professor,118962,9
MSA - Career Development Ctr,Director of External Relations,73920,12
QFA - Human Resources-Central,Human Resources Consultant,46824,12
ECC - Sch of Civil/Constr Engr,Assistant Professor,93150,9
RDR - Ctr Lifelong STEM Learng,Senior Researcher,55008,12
VDL - Vet Diagnostic Lab,Supv-Histology,71628,12
RDR - CIMRS (Inst/Marine Res),Senior Faculty Research Asst I,63636,12
VTH - Vet Teaching Hospital,Asst to Hospital Directors,52308,12
ACS - Crop and Soil Science,Senior Faculty Research Asst I,55572,12
EMM - Sch of Mech/Ind/Mfg Engr,Assistant Professor,96003,9
FOR - Forestry & Natrl Res Ext,Professor,104400,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,54072,12
FOR - College of Forestry Adm,"Outreach, Event & Admin Mgr",55500,12
MSH - Student Health Services,Communication & Marketing Spec,72708,12
VDL - Vet Diagnostic Lab,Medical Technician,46728,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,43692,12
ECB - Sch of Chem/Bio/Envr Eng,Industry Relations Coordinator,68004,12
CLA - School of Public Policy,Advisor-Academic,49344,12
QTS - Transportation Services,Mgr-Motor Pool,78084,12
QFA - Human Res BC Ops - ASBC,Consultant-HR Tech,36228,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,38460,12
TEE - Out & Engage Open Campus,Juntos Program Coordinator,55008,12
BUS - College of Business Dept,Prg Mgr-Student Engagement,55620,12
QFA - Human Res BC Ops - AMBC,HR Strategic Partner,96804,12
"OAS - Earth, Ocean & Atmo Sci",Research Associate (Post Doc),59760,12
AMM - Marine Mammal Institute,Faculty Research Assistant,63120,12
TEE - Outreach & Engagement,Assistant Director - DEI,82812,12
LCB - Acad Prog / Student Aff,Associate Professor (Clinical),75888,12
QTS - Transportation Services,Office Manager,45888,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,41604,12
AHT - Horticulture Extension,Assistant Professor (Practice),59748,12
MSA - Disability Access Srvcs,Mgr-DHOH Access Services,54684,12
QFA - Human Resources-Central,Consultant-Benefits,49944,12
YIA - Intercolleg Athletics,Asst Coach-Women’s Rowing,52008,12
***Change to 104000 eff 7/1/19,Instruct Design Specialist,6e4,12
VDL - Vet Diagnostic Lab,Clinical Pathology Lab Coord,87420,12
PHR - Pharmacy Professnl Instr,Staff Pharmacist,114396,12
QCP - Capital Planning & Devlp,Project Controls Manager,90192,12
QRS - Enterprise Risk Services,Insurance Contract Specialist,64008,12
INT - INTO OSU Program,Instructor (ESL),47136,12
RSG - Sea Grant Extension,Coord-Marine Ed Volunteer,55464,12
JIS - IT Infrastructure Svcs,Mgr-Shared Infrastructure Oper,91644,12
ABP - Ag Botany / Plant Path,Professor,120012,12
OAS - Ship Operations,Ship’s Master,110004,12
ECC - Sch of Civil/Constr Engr,Senior Instructor I,88713,9
"OAS - Earth, Ocean & Atmo Sci",Assistant Professor (Sr Res),101136,12
XUS - OSU Global Opportunities,Director-Education Abroad,94500,12
MHD - Univ Housing and Dining,Mgr-Ops Invent & Asset Mgmnt,74964,12
QTS - Transportation Services,Community Relations Supervisor,55140,12
MSH - Student Health Services,Health Educator-Nutritionist,65748,12
"UPR - Audit, Risk & Compliance",Director of Compliance,15e4,12
QCP - Capital Planning & Devlp,Mgr-Construction,87036,12
YIA - Intercolleg Athletics,Assoc Trainer-Athletics,82800,12
SBB - Biochem / Biophysics,Professor,117783,9
SZO - Integrative Biology,Specialist-Marine Ecosys Data,64932,12
SCH - Chemistry,Faculty Research Assistant,96e3,12
YIA - Intercolleg Athletics,Staff Counselor,64668,12
JIS - Client Services,ITSM Analyst,85044,12
DLB - Library,Executive Assistant,65064,12
"OAS - Earth, Ocean & Atmo Sci",Faculty Research Assistant,49836,12
QUB - Dept of Public Safety,Patrol Sergeant,64596,12
AFS - Food Science and Techno,Cheese Pilot Plant Manager,70704,12
EMM - Sch of Mech/Ind/Mfg Engr,Assistant Professor,99216,9
AHE - Hermiston Exp Sta,Assistant Professor,79272,9
QBA - Business Affairs,Director-Fin. Acct and Anlysis,118116,12
ECB - Sch of Chem/Bio/Envr Eng,Assistant Professor,99288,9
ESE - Sch Elect Engr/Comp Sci,Assistant Professor,97857,9
BUS - College of Business Dept,Senior Instructor I,72e3,9
SST - Statistics (Science),Associate Professor,92025,9
MSA - Career Development Ctr,Exec Dir-Career Services,123600,12
MHD - Dining Centers,Assistant Manager-UHDS,45504,12
RIP - VP for Research,Mgr-Sr Industry Contract,106476,12
QCP - Capital Planning & Devlp,Director of Capital Proj Del,125940,12
AMB - Microbiology (Ag),Asst to Chair,68040,12
ACS - Crop and Soil Science,Faculty Research Assistant,45504,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,49920,12
PHR - Pharmacy Professnl Instr,Interim Department Chair,149004,12
SCH - Chemistry,Professor,131067,9
BUS - College of Business Dept,Asst Dir - Mkt and Outreach,64584,12
RIP - VP for Research,Administrator-IACUC,9e4,12
"OAS - Earth, Ocean & Atmo Sci",Academic Advisor,53436,12
RNR - Institute Natrl Res Dir,Director-INR,141228,12
RIP - VP for Research,Coord-IRB,65088,12
FOR - Forest Ecosyst & Society,Research Associate (Post Doc),50928,12
XEM - Admissions,Assoc Dir-Vis Prgm & Alum Rel,72156,12
CLA - Sch of Psychological Sci,Coordinator-Academic Program,48504,12
CLA - School of Public Policy,Professor,128646,9
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,44724,12
ECC - Sch of Civil/Constr Engr,Professor,138339,9
HHS - EXT 4-H YouthDev OffCmps,Coord-4-H Program,53856,12
SST - Statistics (Science),Associate Professor,110502,9
GRD - Graduate School Admin,Assistant Dean,107016,12
YIA - Intercolleg Athletics,Coord-Mktg Groups & Comm Eng,49152,12
ESE - Sch Elect Engr/Comp Sci,Academic Advisor,50508,12
***Change to 104000 eff 7/1/19,Instruction Design Specialist,63e3,12
HHS - Sch of Bio/Pop Hlth Sci,Assistant Professor,82782,9
TEE - Out & Engage Open Campus,Coordinator-Outreach Program,50916,12
AFW - Fisheries and Wildlife,Associate Professor,103584,12
FOR - Forest Ecosyst & Society,Research Associate (Post Doc),50004,12
HHS - Sch of Bio/Pop Hlth Sci,Research Associate (Post Doc),48e3,12
SST - Statistics (Science),Office Manager,6e4,12
LCB - Community Relatns/Admin,Sr Dir Comm Relations and Mktg,115008,12
AHT - Horticltr Extn Field Fac,Assistant Professor (Practice),65064,12
CLA - Liberal Arts Admin,Associate Professor,90126,9
LCH - Housing & Dining Srvcs,Chef de Cuisine,55008,12
"QBA - Procur,Cont&MaterialsMgt",Assoc. Dir. Proc. Contr. & Sys,127116,12
MSA - Academic Success Center,Supplemental Instruction Coord,50484,12
YIA - Intercolleg Athletics,Assoc Trainer-Athletics,76392,12
SMB - Microbiology (Science),Research Associate (Post Doc),54876,12
"OAS - Earth, Ocean & Atmo Sci",Research Associate (Post Doc),6e4,12
HHS - Sch of Bio/Pop Hlth Sci,Admin Asst to Assoc Dean,68616,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,38484,12
HHS - Sch of Soc/Bhav Hlth Sci,Assistant Professor,80343,9
ECC - Sch of Civil/Constr Engr,Faculty Research Assistant,53916,12
BUS - College of Business Dept,Assistant Professor,132327,9
QFA - Human Res BC Ops - AABC,HR Strategic Partner,95568,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,44724,12
"CLA - Sch Lang, Culture & Soc",Assistant Professor,68265,9
AFW - Fisheries and Wildlife,Senior Faculty Research Asst I,40188,12
EMM - Sch of Mech/Ind/Mfg Engr,Assistant Professor,98019,9
QBA - Business Affairs,Coord-ID Center Operations,56892,12
LCB - Acad Prog / Student Aff,Professor,115620,12
MHD - Univ Housing and Dining,Marketing & Communications Mgr,69528,12
LCB - Acad Prog / Student Aff,Assistant Professor,73008,12
AFW - Fisheries and Wildlife,Associate Professor,105660,12
RDR - Ctr Excellnce Genome Res,Bioinformatics Analyst,62004,12
ENG - College of Engineering,Professor,146034,9
HHS - Sch of Soc/Bhav Hlth Sci,Research Associate (Post Doc),49440,12
AMC - Mid-Columbia Exp Sta,Research Associate (Post Doc),55752,12
SMT - Mathematics,Associate Professor,89802,9
ASC - Animal & Rnglnd Sciences,Instructor,60372,12
UPR - Office of the President,Senior Paralegal,85140,12
SZO - Integrative Biology,Professor,135135,9
ECB - Sch of Chem/Bio/Envr Eng,Assistant Professor,95706,9
CLA - Sch of Hist Phil & Rel,Assist. to School Director,60960,12
INT - INTO OSU Program,Instructor (ESL),49680,12
RIP - VP for Research,"Director, Proposal & Award Ad",124368,12
"OAS - Earth, Ocean & Atmo Sci",Communications Specialist,54444,12
DAA - Social Justc&SearchAdvoc,SearchAdvocateProgram Director,91248,12
TEE - Outreach & Engagement,Fiscal Officer,95004,12
MSA - Diversity/Cultural Engag,Administrative Coordinator,43260,12
TEX - Ext/Exp S Communications,Mgr-Publishing,64800,12
SCH - Chemistry,Professor (Practice),24e4,12
SMB - Microbiology (Science),Distinguished Professor,178281,9
RDR - Ctr Excellnce Genome Res,Senior Faculty Research Asst I,63324,12
SPH - Physics,Assistant Professor,80559,9
XPV - Provost / Exec Vice Pres,Vice Provost Undergrad Educ,218004,12
LCH - Housing & Dining Srvcs,Dining Manager,59604,12
RSG - Sea Grant Extension,Assistant Professor (Practice),68052,12
FOR - Forest Ecosyst & Society,Faculty Research Assistant,43008,12
AFS - Food Science and Techno,Interim Department Head,145944,12
MHD - Univ Housing and Dining,Exec Asst to the Exec Dir,72732,12
ABE - Biol & Ecol Engineering,Professor,104496,12
CLA - School of Public Policy,Assistant to School Director,58008,12
DLB - Library,Director-Resource Acquisitions,90300,12
APD - Aquaculture CRSP,Executive Director,81168,12
LCB - Acad Prog / Student Aff,Acad Advisor/Intl Student Coor,50556,12
ESE - Sch Elect Engr/Comp Sci,Instructor,89004,12
LCB - Acad Prog / Student Aff,Faculty Research Assistant,43320,12
HHS - Public Hlth/HumanSci Adm,Director Post Award Research,69e3,12
"OAS - Earth, Ocean & Atmo Sci",Professor,108084,12
YIA - Intercolleg Athletics,Asst Coach-Men’s Golf,47004,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,38484,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,38520,12
KED - College of Education,Instructor,60252,12
RDR - Linus Pauling Institute,Professor,105921,9
"OAS - Earth, Ocean & Atmo Sci",Professor,140472,12
XEM - Admissions,Regional Admissions Advisor,48444,12
FOR - Forest Eng/Resourcs/Mgmt,Dir-VMRC,111468,12
"UPR - Audit, Risk & Compliance",Senior Auditor,75852,12
ABE - Biol & Ecol Engineering,Assistant Professor,87606,9
YIA - Intercolleg Athletics,Asst AD-Student Athlete Devel,56700,12
CLA - Speech Communication,Professor,102213,9
JIS - Academic Technologies,Director Academic Techonology,142188,12
RSG - Sea Grant Extension,Coord-Special Projects,57180,12
BUS - College of Business Dept,Web Project Coordinator/Dev,65004,12
FOR - Forest Ecosyst & Society,Research Associate (Post Doc),50004,12
VCS - Vet Clinical Sciences,Associate Professor (Clinical),137988,12
MRS - Recreational Sports,Coord-Aquatics,56892,12
QFA - Human Res BC Ops - UABC,Human Resources Consultant 1,40008,12
VBS - Vet Biomedical Science,Associate Professor (Clinical),133968,12
HHS - Sch of Soc/Bhav Hlth Sci,Assistant Professor,83466,9
UPR - Office of the President,General Counsel,273948,12
"OAS - Earth, Ocean & Atmo Sci",Associate Professor,89010,9
CLA - Sch of Wrtg Lit & Film,Professor,96570,9
YIA - Intercolleg Athletics,Dir-MBB Player Personnel,145860,12
ECB - Sch of Chem/Bio/Envr Eng,Assistant Professor,94005,9
ACB - Columbia Basin Exp Sta,Faculty Research Assistant,44328,12
AHT - Horticulture,Research Associate,50700,12
AHE - Hermiston Exp Sta,Associate Professor (Sr Res),91272,12
ACB - Columbia Basin Exp Sta,Assistant Professor (Practice),71004,12
MUN - Retail Food Service,Mgr-Retail Food Service,44772,12
YIA - Intercolleg Athletics,AsstDir-Athletic Training Svcs,81e3,12
ABP - Ag Botany / Plant Path,Assistant Professor (Sr Res),76884,12
QFA - V Pres Finance and Admin,Executive Assistant,80568,12
"OAS - Earth, Ocean & Atmo Sci",Professor,127452,12
ABP - Ag Botany / Plant Path,Faculty Research Assistant,47772,12
SPH - Physics,Assistant Professor,79569,9
YIA - Intercolleg Athletics,Dir-Baseball Player Personnel,42420,12
BUS - College of Business Dept,Professor,199035,9
FOR - Ext Forestry OFF Campus,Assistant Professor (Practice),61368,12
FOR - College of Forestry Adm,Academic Advisor,49764,12
XUS - OSU Global Opportunities,Health and Safety Coordinator,46800,12
SZO - Integrative Biology,Research Associate (Post Doc),45444,12
QFS - Facilities Ops & Maint,Mgr-Maintenance,89940,12
RDR - AdvTech&MftgInst (ATAMI),Specialist 2-Engineer,80004,12
RNR - Institute Natrl Res Dir,Research Associate,63e3,12
AHT - Horticulture,Senior Faculty Research Asst I,49200,12
CLA - Art Department,Professor,92565,9
YIA - Intercolleg Athletics,Assoc HC-Women’s Softball,74292,12
QFA - V Pres Finance and Admin,Vice President-Fin & Admin.,302580,12
YIA - Intercolleg Athletics,Asst Coach-Men’s Rowing,37152,12
JIS - Academic Technologies,Assoc Dir-Learn@OregonState,95400,12
NLS - Conference Services,Assoc Dir-LaSells Stewart Cntr,76524,12
BUS - College of Business Dept,Admin Coord- Ext Engagement,51516,12
MHD - Univ Housing and Dining,Residential Director-2,42504,12
FOR - Forest Ecosyst & Society,Senior Faculty Research AsstII,93780,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,41604,12
QCP - Capital Planning & Devlp,Capital Planner,115932,12
YIA - Intercolleg Athletics,Dir-Athletic Events,59064,12
ABP - Ag Botany / Plant Path,Assistant Professor (Sr Res),88716,12
CLA - Liberal Arts Admin,Exec Asst to the Dean,83892,12
MHD - Univ Housing and Dining,Residential Area Director,53448,12
MHD - Univ Housing and Dining,Coord-Assignment and Room Mgmt,50868,12
MHD - Univ Housing and Dining,Residential Director-2,42504,12
EMM - Sch of Mech/Ind/Mfg Engr,Graduate Program Coordinator,48e3,12
EMM - Sch of Mech/Ind/Mfg Engr,Associate Professor,127053,9
INT - INTO OSU Program,Instructor (ESL),52884,12
SZO - Integrative Biology,Assistant Professor (Sr Res),89904,12
"CLA - Sch Lang, Culture & Soc",Professor,115623,9
FOR - Ext Forestry OFF Campus,Associate Professor,75540,12
UPR - Office of the President,Exec Secretary to President,82392,12
MHD - Univ Housing and Dining,Assoc. Dir Fac Maint- UHDS,105e3,12
HHS - Sch of Bio/Pop Hlth Sci,Assistant Professor,87129,9
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,36432,12
YIA - Intercolleg Athletics,Asst AD-Player Personnel,111288,12
HHS - EXT Fam/CommHlth OnCmps,Professor,108804,12
SMT - Mathematics,Associate Professor,84744,9
ABP - Ag Botany / Plant Path,Research Associate (PostDoc),44988,12
FOR - Wood Science / Engr,Professor,120408,12
ZSS - Univ Shared Svcs Entrprs,Payroll Reporting Svcs Manager,82008,12
***Change to 104000 eff 7/1/19,Marketing Manager,65004,12
ENS - Sch Nuclear Sci & Engr,Assistant Professor,94005,9
ACS - Crop/Soil Sci Extension,Assistant Professor,83439,9
SCH - Chemistry,Senior Instructor II,82572,12
EMM - Sch of Mech/Ind/Mfg Engr,Associate Professor,118656,9
MSH - Student Health Services,Advocate,64080,12
SZO - Integrative Biology,Professor,138186,9
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,44736,12
RDR - Ctr Excellnce Genome Res,Associate Professor,99e3,9
LCB - Acad Prog / Student Aff,Associate Professor,107829,9
AFW - Fisheries and Wildlife,Associate Professor (Sr Res),128160,12
RDR - Linus Pauling Institute,Professor-Endowed,158988,12
