Year Type,Year,Organization Group Code,Organization Group,Department Code,Department,Union Code,Union,Job Family Code,Job Family,Job Code,Job,Employee Identifier,Salaries,Overtime,Other Salaries,total_salary,Retirement,Health/Dental,Other Benefits,Total Benefits,total_compensation
Calendar,2015,1,Public Protection,FIR,Fire Department,798,"Firefighters - Miscellaneous, Local 798",H000,Fire Services,H004,"Insp, Fire Dept",12708,135109.1,23479.1,13510.9,172099.1,29211.82,12424.5,2933.88,44570.2,216669.3
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,6,"Electrical Workers, Local 6",7300,Journeyman Trade,7371,Electrical Transit System Mech,14673,84320.68,872.98,8014.57,93208.23,18205.95,12376.71,7406.21,37988.87,131197.1
Calendar,2015,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,2320,Registered Nurse,49070,138645.01,133.95,38044.3,176823.26,33480.59,12274.04,9357.8,55112.43,231935.69
Calendar,2015,2,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,261,"Laborers, Local 261",7200,Supervisory-Labor & Trade,7215,General Laborer Supervisor 1,10107,71491.01,1679.95,9603.12,82774.08,16700.27,12424.51,6785.42,35910.2,118684.28
Calendar,2015,6,General Administration & Finance,TIS,General Services Agency - Technology,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1000,Information Systems,1091,IT Operations Support Admin I,43899,61428,1814.25,5803.83,69046.08,13398.17,12424.51,5421.39,31244.07,100290.15
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,790,"SEIU - Miscellaneous, Local 1021",2900,Human Services,2930,Psychiatric Social Worker,20586,94716.25,0,0,94716.25,19487.82,12334.91,7395.25,39217.98,133934.23
Calendar,2015,2,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5200,Professional Engineering,5266,Architectural Associate 2,13598,116976.14,0,0,116976.14,23550,12424.51,9179.99,45154.5,162130.64
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",9100,Street Transit,9116,Sr Fare Collections Receiver,39969,72699,2017.94,3533.54,78250.48,15112.3,12424.5,6460.12,33996.92,112247.4
Calendar,2015,6,General Administration & Finance,TTX,Treasurer/Tax Collector,790,"SEIU - Miscellaneous, Local 1021",1600,"Payroll, Billing & Accounting",1630,Account Clerk,11077,8113.86,0,0,8113.86,1784.24,2100.64,659.76,4544.64,12658.5
Calendar,2015,1,Public Protection,FIR,Fire Department,798,"Firefighters - Miscellaneous, Local 798",H000,Fire Services,H002,Firefighter,38395,112159.76,3468.5,15190,130818.26,24231.47,15052.76,2225,41509.23,172327.49
Calendar,2015,2,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,261,"Laborers, Local 261",7500,Semi-Skilled & General Labor,7502,Asphalt Worker,8848,44000.8,2090.07,6815.3,52906.17,10292.14,9700.66,4047.62,24040.42,76946.59
Calendar,2015,1,Public Protection,PDR,Public Defender,535,"SEIU - Human Services, Local 1021",2900,Human Services,2940,Protective Services Worker,6054,51292.8,0,6317.3,57610.1,11749.18,6546.76,4945.32,23241.26,80851.36
Calendar,2015,6,General Administration & Finance,ADM,General Services Agency - City Admin,790,"SEIU - Miscellaneous, Local 1021",1300,Pub Relations & Spec Assts,1324,Customer Service Agent,48864,70451.84,2473.73,5584.61,78510.18,15243.83,11865.58,6163.73,33273.14,111783.32
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,1292,66889.37,3745.73,4868.57,75503.67,19639.75,13180.13,5845.76,38665.64,114169.31
Calendar,2015,5,Culture & Recreation,REC,Recreation and Park Commission,790,"SEIU - Miscellaneous, Local 1021",3200,Recreation,3279,Recreation Leader,25975,9536.25,0,39.48,9575.73,0,3652.68,741.95,4394.63,13970.36
Calendar,2015,6,General Administration & Finance,CON,Controller,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1000,Information Systems,1053,IS Business Analyst-Senior,27641,112209,0,5463.13,117672.13,22582.31,12424.5,9163.46,44170.27,161842.4
Calendar,2015,2,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5300,Sub-Professional Engineering,5381,Stdntdsgn Train2/Arch/Eng/Plng,40755,4336.94,0,0,4336.94,0,961.72,335.77,1297.49,5634.43
Calendar,2015,1,Public Protection,CRT,Superior Court,792,"SEIU - Court Employees, Local 1021",SCRT,SF Superior Court,430C,Deputy Court Clerk III,8301,76295.84,0,3539.19,79835.03,16080.81,10735.91,6629.07,33445.79,113280.82
Calendar,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2300,Nursing,2303,Patient Care Assistant,41128,3248.6,0,0,3248.6,0,884.05,251.61,1135.66,4384.26
Calendar,2015,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",1900,Purchasing & Storekeeping,1932,Assistant Storekeeper,32285,53973,7691.42,9192.8,70857.22,14224.14,12424.5,5811.3,32459.94,103317.16
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1000,Information Systems,1031,IS Trainer-Assistant,28875,72153.09,0,40,72193.09,14878.52,12424.51,5815.48,33118.51,105311.6
Calendar,2015,6,General Administration & Finance,ASR,Assessor/Recorder,21,"Prof & Tech Engineers - Miscellaneous, Local 21",4200,Appraisal & Taxation,4265,Senior Real Property Appraiser,44296,83369.16,0,1200,84569.16,17411.55,12424.5,6297.98,36134.03,120703.19
Calendar,2015,6,General Administration & Finance,HRD,Human Resources,790,"SEIU - Miscellaneous, Local 1021",1200,Personnel,1202,Personnel Clerk,48612,9535,0,0,9535,2096.74,2389.33,745.07,5231.14,14766.14
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,200,"Transportation Workers, Local 200",9100,Street Transit,9139,Transit Supervisor,34808,0,0,121.57,121.57,0,68.5,9.3,77.8,199.37
Calendar,2015,5,Culture & Recreation,REC,Recreation and Park Commission,790,"SEIU - Miscellaneous, Local 1021",3200,Recreation,3279,Recreation Leader,25909,6431.3,0,72.6,6503.9,0,1606.81,503.84,2110.65,8614.55
Calendar,2015,2,"Public Works, Transportation & Commerce",CWP,PUC Wastewater Enterprise,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5600,Energy & Environment,5602,Utility Specialist,29552,95194.76,0,0,95194.76,19148.29,8543.22,7349.27,35040.78,130235.54
Calendar,2015,6,General Administration & Finance,ADM,General Services Agency - City Admin,790,"SEIU - Miscellaneous, Local 1021",8100,Legal & Court,8108,Senior Legal Process Clerk,40035,40606.01,0,0,40606.01,8472.64,8600.09,3363.24,20435.97,61041.98
Calendar,2015,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q051,Sergeant 2,41489,42249.5,1017.97,6875.52,50142.99,9120.88,3822.92,834.54,13778.34,63921.33
Calendar,2015,2,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1800,"Budget, Admn & Stats Analysis",1825,Prnpl Admin Analyst II,46187,99369.68,0,0,99369.68,19886.31,10513.04,8136.95,38536.3,137905.98
Calendar,2015,6,General Administration & Finance,REG,Elections,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1402,Junior Clerk,46694,2261,1430.79,242.25,3934.04,0,669.02,305.34,974.36,4908.4
Calendar,2015,6,General Administration & Finance,CAT,City Attorney,311,Municipal Attorneys' Association,8100,Legal & Court,8177,Attorney (Civil/Criminal),16785,146295.04,0,4175.87,150470.91,30288.9,9863.14,10333.57,50485.61,200956.52
Calendar,2015,1,Public Protection,ECD,Department of Emergency Management,351,Municipal Executive Association - Miscellaneous,0900,Management,0931,Manager III,37206,110977.7,0,0,110977.7,22580.43,12424.5,23232.46,58237.39,169215.09
Calendar,2015,5,Culture & Recreation,REC,Recreation and Park Commission,790,"SEIU - Miscellaneous, Local 1021",3200,Recreation,3279,Recreation Leader,32735,14529.66,0,238.6,14768.26,0,4808.52,1144.93,5953.45,20721.71
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1600,"Payroll, Billing & Accounting",1652,Accountant II,1326,21650.5,0,0,21650.5,4856.22,3345.06,1726.15,9927.43,31577.93
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5200,Professional Engineering,5207,Assoc Engineer,47900,116976.11,0,0,116976.11,23541.49,12424.51,9555.11,45521.11,162497.22
Calendar,2015,6,General Administration & Finance,ADM,General Services Agency - City Admin,790,"SEIU - Miscellaneous, Local 1021",1300,Pub Relations & Spec Assts,1322,Customer Service Agent Trainee,7940,14412.8,0,106.97,14519.77,0,3058.34,1124.12,4182.46,18702.23
Calendar,2015,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,2320,Registered Nurse,22659,148529.1,0,11146.32,159675.42,18280.68,12376.71,4890.58,35547.97,195223.39
Calendar,2015,3,Human Welfare & Neighborhood Development,CHF,"Children, Youth & Their Families",790,"SEIU - Miscellaneous, Local 1021",9700,Community Development,9774,Sr Community Devl Spc 1,50227,100858.12,0,0,100858.12,20788.82,12424.5,8319.37,41532.69,142390.81
Calendar,2015,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",1600,"Payroll, Billing & Accounting",1636,Health Care Billing Clerk 2,1786,59116.01,0,0,59116.01,13210,12424.5,4808.16,30442.66,89558.67
Calendar,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2200,Medical & Dental,2202,Dental Aide,5496,8122.9,0,80,8202.9,0,1720.32,636.67,2356.99,10559.89
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,130,"Automotive Machinists, Local 1414",7300,Journeyman Trade,7309,Car And Auto Painter,28976,81942.04,20213.07,18483.99,120639.1,19634.41,12424.51,9721.17,41780.09,162419.19
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,1,Miscellaneous Unrepresented Employees,9900,Public Service Aide,9916,Public Svc Aide-Public Works,21162,1322.4,0,63.23,1385.63,0,573.44,107.27,680.71,2066.34
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,790,"SEIU - Miscellaneous, Local 1021",9900,Public Service Aide,9910,Public Service Trainee,764,881.6,0,0,881.6,219.06,382.3,75.9,677.26,1558.86
Calendar,2015,2,"Public Works, Transportation & Commerce",WTR,PUC Water Department,6,"Electrical Workers, Local 6",7300,Journeyman Trade,7345,Electrician,20166,95934.42,279.3,0,96213.72,19773.85,12233.37,7911.23,39918.45,136132.17
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8201,School Crossing Guard,34436,8514.99,0,61.31,8576.3,0,3085.22,664.74,3749.96,12326.26
Calendar,2015,5,Culture & Recreation,REC,Recreation and Park Commission,261,"Laborers, Local 261",3400,Agriculture & Horticulture,3428,Nursery Specialist,33425,2874,0,0,2874,534.85,477.86,226.95,1239.66,4113.66
Calendar,2015,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q051,Sergeant 2,12122,136152.9,26746.44,20000.16,182899.5,26907.62,12424.5,3116.91,42449.03,225348.53
Calendar,2015,1,Public Protection,SHF,Sheriff,498,Deputy Sheriffs' Association,8300,Correction & Detention,8304,Deputy Sheriff,31122,97243.81,32733.01,16879.82,146856.64,27768.44,12357.3,2437.57,42563.31,189419.95
Calendar,2015,5,Culture & Recreation,LIB,Public Library,790,"SEIU - Miscellaneous, Local 1021",3600,Library,3602,Library Page,11393,36731.49,0,63.53,36795.02,8803.96,9085.42,2256.68,20146.06,56941.08
Calendar,2015,5,Culture & Recreation,REC,Recreation and Park Commission,261,"Laborers, Local 261",3400,Agriculture & Horticulture,3417,Gardener,17034,64838.5,0,560,65398.5,13455.95,12185.57,5310.85,30952.37,96350.87
Calendar,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2300,Nursing,2303,Patient Care Assistant,609,47785.24,45.76,6491.51,54322.51,11560.77,10618.29,4258.93,26437.99,80760.5
Calendar,2015,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q002,Police Officer,18312,12520,0,0,12520,2269.88,1911.46,966.95,5148.29,17668.29
Calendar,2015,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",2900,Human Services,2930,Psychiatric Social Worker,5831,93281,0,680,93961,19360.04,12424.5,7391.82,39176.36,133137.36
Calendar,2015,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,2320,Registered Nurse,50199,60992.1,0,292.84,61284.94,7440.23,5913.1,3076.75,16430.08,77715.02
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,493,67274.81,20038.59,1680.28,88993.68,18904.44,13259.88,6957.09,39121.41,128115.09
Calendar,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2600,Dietary & Food,2604,Food Service Worker,40461,51405,0,3678.22,55083.22,12697.63,12424.5,4301.57,29423.7,84506.92
Calendar,2015,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,2328,Nurse Practitioner,47596,168343.38,787.27,12619.97,181750.62,36432.53,11170.1,10805.38,58408.01,240158.63
Calendar,2015,6,General Administration & Finance,HSS,Health Service System,351,Municipal Executive Association - Miscellaneous,0900,Management,0963,Dept Head III,28903,204209.59,0,0,204209.59,41049.18,12424.5,18500.69,71974.37,276183.96
Calendar,2015,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q004,Police Officer 3,21783,119542.45,49973.27,20447.65,189963.37,23665.87,12424.5,2999.06,39089.43,229052.8
Calendar,2015,5,Culture & Recreation,REC,Recreation and Park Commission,790,"SEIU - Miscellaneous, Local 1021",3200,Recreation,3264,Camp Assistant,27891,2120.65,0,0,2120.65,0,991.57,164.59,1156.16,3276.81
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,49914,67008.37,11706.21,3947,82661.58,19373.08,13202.34,6318.91,38894.33,121555.91
Calendar,2015,1,Public Protection,CRT,Superior Court,792,"SEIU - Court Employees, Local 1021",SCRT,SF Superior Court,420C,Deputy Court Clerk II,50940,60608.64,0,3e3,63608.64,12693.8,10119.76,5339.54,28153.1,91761.74
Calendar,2015,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,P103,Special Nurse,20623,56164.05,0,9360.68,65524.73,6565.99,4228.45,2214.14,13008.58,78533.31
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,22,"Prof & Tech Engineers - Personnel, Local 21",1400,"Clerical, Secretarial & Steno",1452,Executive Secretary 2,12505,9351,0,0,9351,2097.42,1433.6,767.68,4298.7,13649.7
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,27382,56314.9,1215.57,1317.3,58847.77,11602.83,12376.71,4875.84,28855.38,87703.15
Calendar,2015,2,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,790,"SEIU - Miscellaneous, Local 1021",9900,Public Service Aide,9922,PS Aide To Prof,35510,13659.5,0,0,13659.5,0,4061.86,1001.59,5063.45,18722.95
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,1,Miscellaneous Unrepresented Employees,9900,Public Service Aide,9916,Public Svc Aide-Public Works,33737,2702.76,0,0,2702.76,0,1134.93,210.22,1345.15,4047.91
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,31713,64389.46,5062.72,849.71,70301.89,14782.89,12680.88,5151.02,32614.79,102916.68
Calendar,2015,4,Community Health,DPH,Public Health,164,Physicians and Dentists - Miscellaneous,2200,Medical & Dental,2232,Senior Physician Specialist,26601,145569.35,0,7278.54,152847.89,30660.36,8640.41,10290.08,49590.85,202438.74
Calendar,2015,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,2320,Registered Nurse,25069,112004.16,670,10166.05,122840.21,15571.71,10866.65,5646.04,32084.4,154924.61
Calendar,2015,2,"Public Works, Transportation & Commerce",CWP,PUC Wastewater Enterprise,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5600,Energy & Environment,5602,Utility Specialist,48138,94499.65,0,0,94499.65,19042.3,9246.69,7586.18,35875.17,130374.82
Calendar,2015,1,Public Protection,FIR,Fire Department,798,"Firefighters - Miscellaneous, Local 798",H000,Fire Services,H002,Firefighter,29642,73360.11,12242.96,5040.04,90643.11,15696.27,15196.12,1540.61,32433,123076.11
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,8131,67638.74,4899.69,2207.95,74746.38,19134.86,13329.28,5801.01,38265.15,113011.53
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,1,Miscellaneous Unrepresented Employees,9900,Public Service Aide,9916,Public Svc Aide-Public Works,47038,771.41,0,884.57,1655.98,206.57,334.51,127.42,668.5,2324.48
Calendar,2015,1,Public Protection,FIR,Fire Department,798,"Firefighters - Miscellaneous, Local 798",H000,Fire Services,H002,Firefighter,17127,113233.59,44493.64,24369.16,182096.39,25330.53,15196.11,3099.54,43626.18,225722.57
Calendar,2015,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,P103,Special Nurse,15148,67313.47,666.42,1426.59,69406.48,0,5381.84,5380.98,10762.82,80169.3
Calendar,2015,2,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,580,"Cement Masons, Local 300",7300,Journeyman Trade,7311,Cement Mason,41208,75811.5,10398.77,40,86250.27,15616.99,12275.18,7737.49,35629.66,121879.93
Calendar,2015,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,2320,Registered Nurse,40705,49206.1,986.25,3183.31,53375.66,9340.9,5350.6,4249.01,18940.51,72316.17
Calendar,2015,1,Public Protection,DAT,District Attorney,21,"Prof & Tech Engineers - Miscellaneous, Local 21",8100,Legal & Court,8132,Da Investigative Assist,49229,77071.05,0,0,77071.05,15884.7,12424.5,6285.79,34594.99,111666.04
Calendar,2015,2,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5300,Sub-Professional Engineering,5364,Engineering Associate 1,50670,83148,3366.7,0,86514.7,17137.11,12424.53,6846.02,36407.66,122922.36
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,351,Municipal Executive Association - Miscellaneous,0900,Management,0931,Manager III,4146,12816,0,0,12816,2323.54,955.73,836.81,4116.08,16932.08
Calendar,2015,2,"Public Works, Transportation & Commerce",WTR,PUC Water Department,21,"Prof & Tech Engineers - Miscellaneous, Local 21",2400,"Lab, Pharmacy & Med Techs",2481,Water Qualitytech I/II,27108,82297.01,18721.92,2341.65,103360.58,16966.34,12424.51,8101.73,37492.58,140853.16
Calendar,2015,4,Community Health,DPH,Public Health,22,"Prof & Tech Engineers - Personnel, Local 21",1200,Personnel,1244,Senior Personnel Analyst,23311,70948.04,0,0,70948.04,14317.78,10035.17,5394.54,29747.49,100695.53
Calendar,2015,6,General Administration & Finance,ASR,Assessor/Recorder,21,"Prof & Tech Engineers - Miscellaneous, Local 21",4200,Appraisal & Taxation,4261,Real Property Appraiser,10232,85060.72,0,1200,86260.72,17740.45,12424.5,6866.28,37031.23,123291.95
Calendar,2015,1,Public Protection,FIR,Fire Department,798,"Firefighters - Miscellaneous, Local 798",H000,Fire Services,H003,EMT/Paramedic/Firefighter,44379,80257.22,13143.02,9432.99,102833.23,17457.94,12490.21,1716.51,31664.66,134497.89
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1200,Personnel,1232,Training Officer,4562,28725,0,0,28725,5345.71,3822.92,2275.15,11443.78,40168.78
Calendar,2015,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,2320,Registered Nurse,47560,118441.23,872.48,13595.49,132909.2,24654.8,10815.59,5947.89,41418.28,174327.48
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,22,"Prof & Tech Engineers - Personnel, Local 21",1200,Personnel,1241,Personnel Analyst,52240,62399.21,0,0,62399.21,13949.04,12424.5,4995.76,31369.3,93768.51
Calendar,2015,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q002,Police Officer,53220,80949.88,3910.69,3106.12,87966.69,16584.79,12424.49,3209.49,32218.77,120185.46
Calendar,2015,6,General Administration & Finance,ADM,General Services Agency - City Admin,790,"SEIU - Miscellaneous, Local 1021",9900,Public Service Aide,9922,PS Aide To Prof,35570,19810.29,141.98,0,19952.27,1049.06,5958.38,1595.53,8602.97,28555.24
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,15414,65502.45,5556.6,3765.82,74824.87,19080.11,12922.92,5759.91,37762.94,112587.81
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,130,"Automotive Machinists, Local 1414",7300,Journeyman Trade,7322,Auto Body&Fender Wrk Asst Sprv,38651,60413,1504.77,7258.07,69175.84,13060.02,7645.84,5509.15,26215.01,95390.85
Calendar,2015,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,P103,Special Nurse,50158,4731,0,94.62,4825.62,205.56,0,-0.01,205.55,5031.17
Calendar,2015,6,General Administration & Finance,ASR,Assessor/Recorder,790,"SEIU - Miscellaneous, Local 1021",4200,Appraisal & Taxation,4215,Asr Senior Office Specialist,1688,71311.03,0,0,71311.03,14697.59,12424.5,5836.21,32958.3,104269.33
Calendar,2015,4,Community Health,DPH,Public Health,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1800,"Budget, Admn & Stats Analysis",1823,Senior Administrative Analyst,20715,50249.01,0,0,50249.01,9743.51,7406.92,4069.62,21220.05,71469.06
Calendar,2015,6,General Administration & Finance,TTX,Treasurer/Tax Collector,21,"Prof & Tech Engineers - Miscellaneous, Local 21",4200,Appraisal & Taxation,4220,Personal Property Auditor,36035,66400,0,400,66800,14179.72,9557.31,5311.75,29048.78,95848.78
Calendar,2015,1,Public Protection,SHF,Sheriff,498,Deputy Sheriffs' Association,8300,Correction & Detention,8304,Deputy Sheriff,17803,97764.02,41623.58,11537.32,150924.92,26596.73,12424.5,390.12,39411.35,190336.27
Calendar,2015,2,"Public Works, Transportation & Commerce",HHP,PUC Hetch Hetchy,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5600,Energy & Environment,5602,Utility Specialist,21938,126994.11,0,0,126994.11,25553.08,12424.5,9901.01,47878.59,174872.7
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,15468,66155.98,3863.99,1331.49,71351.46,15381.4,13035.93,5231.02,33648.35,104999.81
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,2871,62827.4,13930.74,2053.25,78811.39,17882.28,12401.98,6100.27,36384.53,115195.92
Calendar,2015,6,General Administration & Finance,RET,Retirement System,790,"SEIU - Miscellaneous, Local 1021",4300,Revenue,4331,Security Analyst,18466,110858,0,0,110858,22310.68,12424.5,8907.81,43642.99,154500.99
Calendar,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2300,Nursing,2303,Patient Care Assistant,40270,41308.14,0,4111.02,45419.16,9283.5,9183.26,3400.49,21867.25,67286.41
Calendar,2015,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",2900,Human Services,2930,Psychiatric Social Worker,32123,92363.03,8789.13,4169.69,105321.85,19323.63,12424.5,8447.38,40195.51,145517.36
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,11317,55839.85,8331.8,740.32,64911.97,15715.38,11049.92,5007.99,31773.29,96685.26
Calendar,2015,2,"Public Works, Transportation & Commerce",CWP,PUC Wastewater Enterprise,39,"Stationary Engineers, Local 39",7300,Journeyman Trade,7373,"Sr Stationary Eng, Sew Plant",41899,103962.27,0,1115.32,105077.59,21636.32,12171.24,8452.86,42260.42,147338.01
Calendar,2015,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",9900,Public Service Aide,9924,PS Aide Health Services,17891,19416,0,0,19416,1633.33,6307.83,1576.08,9517.24,28933.24
Calendar,2015,5,Culture & Recreation,LIB,Public Library,790,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2708,Custodian,9559,56531,754.12,400.16,57685.28,11750.45,12424.5,4779.33,28954.28,86639.56
Calendar,2015,2,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5200,Professional Engineering,5211,Eng/Arch/Landscape Arch Sr,52210,156746.06,0,0,156746.06,31545.23,12424.52,10485.4,54455.15,211201.21
Calendar,2015,2,"Public Works, Transportation & Commerce",WTR,PUC Water Department,130,"Automotive Machinists, Local 1414",7300,Journeyman Trade,7332,Maintenance Machinist,28141,81262.01,1697.86,600,83559.87,16927.08,11946.63,6851.79,35725.5,119285.37
Calendar,2015,2,"Public Works, Transportation & Commerce",PRT,Port,104,"Sheet Metal Workers, Local 104",7300,Journeyman Trade,7376,Sheet Metal Worker,14989,101323,0,2813,104136,21464.25,12424.51,8371.83,42260.59,146396.59
Calendar,2015,4,Community Health,DPH,Public Health,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1000,Information Systems,1070,IS Project Director,49741,135199.02,0,0,135199.02,27179.29,12424.5,10112.3,49716.09,184915.11
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8214,Parking Control Officer,16778,52750.86,25001.91,4235.64,81988.41,13311.86,12433.46,6527.63,32272.95,114261.36
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,24312,67618.68,21944.44,4822.67,94385.79,19834.28,13326.71,7166.16,40327.15,134712.94
